t,nocache_prefix_smooth_ms,cache_prefix_smooth_ms,nocache_postfix_smooth_ms,cache_postfix_smooth_ms
1,5.1863,6.7235,5.0927,6.4796
2,5.2234,6.7093,5.1112,6.5045
3,5.2509,6.6818,5.1341,6.4903
4,5.2796,6.6578,5.1530,6.4682
5,5.2914,6.6465,5.1486,6.4983
6,5.3136,6.6718,5.1734,6.4836
7,5.3085,6.7500,5.1642,6.4830
8,5.3061,6.7670,5.1650,6.4777
9,5.3111,6.8065,5.1864,6.4986
10,5.3307,6.8108,5.2031,6.5179
11,5.3399,6.8252,5.2233,6.5189
12,5.3860,6.8813,5.2534,6.5499
13,5.4224,6.9389,5.2797,6.5714
14,5.4547,6.9703,5.2921,6.5738
15,5.4733,7.0079,5.2959,6.5876
16,5.4939,7.0405,5.3166,6.6137
17,5.5169,7.0328,5.3333,6.6421
18,5.5411,7.0673,5.3514,6.6945
19,5.5488,7.1149,5.3680,6.7144
20,5.5634,7.1403,5.3953,6.7445
21,5.6060,7.1510,5.4147,6.7612
22,5.6627,7.1477,5.4290,6.7718
23,5.6526,7.1817,5.4537,6.7938
24,5.6716,7.2220,5.4621,6.8328
25,5.6858,7.2705,5.4738,6.8787
26,5.7038,7.3203,5.5102,6.8961
27,5.7106,7.3283,5.5256,6.9123
28,5.7493,7.3163,5.5557,6.9509
29,5.7747,7.3323,5.5828,6.9938
30,5.8099,7.3252,5.5757,7.0480
31,5.8239,7.3930,5.5823,7.0871
32,5.8518,7.4184,5.5947,7.0910
33,5.8751,7.3957,5.6152,7.1058
34,5.8909,7.3954,5.6049,7.1407
35,5.9134,7.4207,5.6324,7.1424
36,5.9408,7.4482,5.6703,7.1479
37,5.9700,7.4670,5.7021,7.1823
38,5.9999,7.5121,5.7149,7.1928
39,6.0233,7.4929,5.7447,7.2225
40,6.0529,7.4998,5.7606,7.2403
41,6.0840,7.4690,5.7611,7.2476
42,6.0730,7.4621,5.7835,7.2484
43,6.0389,7.4851,5.8072,7.2506
44,6.0803,7.5314,5.8331,7.2311
45,6.0832,7.5418,5.8689,7.2365
46,6.0839,7.5459,5.8918,7.2329
47,6.1114,7.5388,5.8962,7.2236
48,6.1415,7.5509,5.9030,7.2832
49,6.1603,7.5789,5.9268,7.2676
50,6.1810,7.5998,5.9446,7.2794
51,6.1866,7.6463,5.9691,7.2483
52,6.2007,7.6495,5.9894,7.2329
53,6.2343,7.6475,5.9995,7.2807
54,6.2347,7.6959,6.0040,7.2927
55,6.2334,7.7038,6.0308,7.3062
56,6.2694,7.7275,6.0470,7.3328
57,6.2851,7.7496,6.0621,7.3436
58,6.2878,7.8048,6.0623,7.3099
59,6.2881,7.8012,6.0943,7.3184
60,6.2968,7.8143,6.0967,7.3036
61,6.2967,7.8057,6.1177,7.3111
62,6.2974,7.8789,6.1557,7.3071
63,6.3188,7.9026,6.1597,7.3316
64,6.3487,7.9284,6.1721,7.3698
65,6.3812,7.8797,6.1704,7.4069
66,6.4059,7.8831,6.1732,7.4050
67,6.4392,7.9152,6.1870,7.4239
68,6.4599,7.9193,6.2117,7.4304
69,6.4793,7.9513,6.2424,7.4230
70,6.4817,7.9465,6.2592,7.4316
71,6.4882,7.9534,6.2709,7.4317
72,6.4998,7.9412,6.2978,7.4307
73,6.5137,7.9254,6.3327,7.4285
74,6.5029,7.9549,6.3480,7.4337
75,6.5338,7.9990,6.3866,7.4265
76,6.5837,8.0083,6.4209,7.4485
77,6.6016,8.0179,6.4306,7.4706
78,6.6213,7.9883,6.4430,7.5123
79,6.6567,7.9851,6.4595,7.5582
80,6.6935,8.0101,6.4867,7.5875
81,6.7168,8.0455,6.5237,7.5950
82,6.7672,8.0442,6.5474,7.6215
83,6.8023,8.0122,6.5759,7.6494
84,6.8581,8.0464,6.6147,7.6810
85,6.8626,8.0789,6.6495,7.6962
86,6.8588,8.1482,6.6881,7.6995
87,6.8944,8.2338,6.7264,7.7218
88,6.9303,8.2585,6.7559,7.7604
89,6.9389,8.3032,6.7918,7.7774
90,6.9626,8.3287,6.8098,7.7982
91,7.0123,8.3299,6.8152,7.8272
92,7.0710,8.3405,6.8378,7.8479
93,7.1228,8.3836,6.8559,7.8964
94,7.1542,8.4125,6.8673,7.9398
95,7.2085,8.4277,6.9052,7.9921
96,7.2492,8.3776,6.9164,8.0179
97,7.2756,8.3986,6.9394,8.0319
98,7.3012,8.4004,6.9677,8.0776
99,7.3509,8.4563,6.9835,8.0711
100,7.3627,8.4734,7.0211,8.0632
101,7.4011,8.4886,7.0354,8.0808
102,7.4297,8.5080,7.0415,8.1115
103,7.4395,8.5552,7.0541,8.1058
104,7.4572,8.5921,7.0703,8.1052
105,7.4704,8.6195,7.0861,8.1026
106,7.5198,8.6424,7.0898,8.1122
107,7.5499,8.6343,7.0959,8.1060
108,7.5860,8.5987,7.0985,8.0943
109,7.6127,8.5964,7.1050,8.0790
110,7.6611,8.5927,7.1115,8.1112
111,7.6845,8.5997,7.1211,8.1237
112,7.6926,8.6284,7.1654,8.1396
113,7.7104,8.6891,7.1996,8.1654
114,7.7233,8.6744,7.2294,8.1935
115,7.7572,8.6978,7.2380,8.2066
116,7.7832,8.7500,7.2442,8.1931
117,7.8087,8.7456,7.2570,8.2005
